id,full_text,Stigmatizing,Anti-stigmatizing,News/Facts/misinformation,Political ,other,comments,Number of assigned labelles,,,
1228232838945763329,"@senrobportman I warn those live in free countries who are putting mority aside, siding with the #CCP for money suckg will have to pay a greater price in the end!
#China 's penetrations r widely spread like #coronavirus , #chinazi has to be crushed n buried asap for the sake of global security!",,,,1,,,1,,,
1228234788818960387,"@SolomonYue @AmbCuiTiankai I think the world now realise how bad is #CCP because of their way running the country, not only trust issue, they are unbelievable and using anyway trying to control the world.
#China_is_terrorist 
#WuhanCoronavirus https://t.co/dhJTN5mrTN",,,,1,,,1,,,
1228235583438278657,"@HRF You speak the truth. Thank you!

#WuhanCoronavirus 
#ChinaVirus 
#ChinaCoronaVirus 
#WuhanPneumonia 
#ChinaPneumonia 
#China_is_terrorist 
#dumpted
#chinazi",,,,,1,support,1,,,
1228237116733190145,"BLOOMBERG BUSINESSWEEK NEW COVER
@BW
#FightForFreedom #CCP_is_terrorist
#Coronavirus https://t.co/anFfPfMk1c",,,,,1,opinion,1,,,
1228238845830823937,"Coronavirus outbreak: China's s death toll nears 1,500 #Chinacoronavirus #Wuhancoronavirus #Coronavirus https://t.co/YnIjsJaSbz",,,1,,,,1,,,
1228256188787286017,We need leadership #coronavirus #COVID #WuFlu  https://t.co/pPHqhhZKEx,,,,,1,opinion,1,,,
1228257810745569281,"Love is in the air, but so is the flu. 
#sanondaf #infectioncontrol #disinfection #decontamination #coronavirus #chinacoronavirus #wuhanvirus #coronavirusuk #virus #worldhealthorganization #liverpool #valentinesday #happyvalentinesday #washyourhands https://t.co/5vfcKCl9fH",,,,,1,opinion,1,,,
1228258717134536705,"3 new cases (total now 56): hashtags ONE-TEN in hashtag ELEVEN &amp; TWELVE (February 14, 2020; 18:00 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #coronavirusoutbreak #wuhanvirus2020 #coronavirus #wuhanflu #wuhanvirus #covid2019 #covid19outbreak #covid19 #HONGKONG #HK",,,1,,,,1,,,
1228259299891142657,"now &gt;14000 (OUT OF CONTROL): hashtags ONE-SIX in hashtag SEVEN (February 14, 2020; 18:04 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus #wuhanflu #covid2019 #CHINA",,,1,,,,1,,,
1228266258618929152,"@UNWatch Malicious regime are scare of any truth being revealed ! 

We HKers are fighters. We will not back down until the collapse of the #CCP #china and genuine freedom, democracy, human rights and justice are in place! 
#StandWithHongKong
#FreeHongKong 
#HongKong
#AntiChinazi 
#chinazi",,,,1,,,1,,,
1228266749734187010,How worried are you for #CoronavirusOutbreak #COVID19 #coronavirus #2019nCoV #VirusCorona  #pandemic #outbreak #ChinaCorona #ChinaPneumonia ???,,,,,1,que,1,,,
1228272393547702272,"Singapore confirms 9 (biggest daily increase) new #COVID19 cases on Feb 14.

6 are linked to the Grace Assembly of God Church cluster (total: 13 now, biggest cluster to date).

Total: 67, critical: 6 (down from 7 ytdy).

#coronavirus #coronavirussingapore
https://t.co/VuCvMZs07X",,,1,,,,1,,,
1228274963624251392,"#chinazi has a lot of professional post-grad student spies in HK universities, controlling student unions and other associations. UK should beware that China is doing the same thing in their country. https://t.co/sUebXkv7dI",,,,1,,,1,,,
1228276258410287105,"What do europeans/asians think?

#COVID19
#coronavirus #SARSCoV2 #nCOV #WuhanPneumonia
 #wuhanflu #COVID2019 https://t.co/FIYxLJpXYT",,,,,1,que,1,,,
1228282586658721792,#xi #communist party of #china are not treating its sick ppl peoperly. #Xi relaxing at #Beijing. RESIGN #WuhanCoronovirus #WuhanChina #Hubei #ChinaVirusSesungguhnya #wuhanflu https://t.co/gQbQGHOpHY,,,,1,,,1,,,
1228283795197038592,"💊Quick update💊 on the statistics coming out of China, grossley underreported in IMO. Who agrees? VOTE BELOW.

Retweet and share. FOLLOW ME FOR REGULAR VIDEO UPDATES DIRECT FROM CHINA
#coronavirus
#coronoavirusoutbreak 
#coronaviruswuhan #COVID19 #WuhanCoronovirus https://t.co/uqGgDQuIBX",,,1,,,,1,,,
1228291558325157889,Handling fake news Infodemic in time of Coronavirus epidemic https://t.co/DStKcpqM0A #CoronavirusOutbreak #Corona #coronavairus #coronavirus #CoronaOutbreak #CoronaVirusCanada #coronavirusindia #coronavirussingapore,,,1,,,,1,,,
1228294798781620229,"Coronavirus - DAILY UPDATE -February 14th- Infection, Mortality &amp; Recovered Rate #wuhanflu #coronavirus https://t.co/NsG37GgBuu https://t.co/i6yUDDR2xX",,,1,,,,1,,,
1228294816632426496,#China has no respect for human rights. #coronavirus #CoronavirusOutbreak #coronavirussingapore https://t.co/NyZ4RwWScL,,,,,1,opinion,1,,,
1228296231467634689,@JeromeTaylor The #CCP has sent spies &amp; #WuhanCoronavirus all around the world. #antichinazi https://t.co/P8RiKYI5MP,,,,1,,,1,,,
1228317059878129664,An outbreak that US military has treatment plans for👀 #coronaviruswuhan https://t.co/LtWZLLbjoH,,,,1,,,1,,,
1228319531518615553,"Snowing in Beijing. Apparently the #COVID19 does better in cold and high humidity. 
#covid19China
#coronaviruswuhan 
#coronavirus
#WuhanCoronavirus https://t.co/EQLiVLNOkW",,,1,,,,1,,,
1228320648591634433,"A biotech giant and a blood bank at the epicentre of a #coronavirus outbreak in #China has appealed for people who have recovered from the illness to donate blood plasma to help treat others. #WuhanVirus #coronaviruswuhan 

https://t.co/coRPPekIJC",,,1,,,,1,,,
1228321735247831041,"Reporter's Notebook: Life and death in a Wuhan coronavirus ICU

#CoronarvirusOutbreak #coronaviruswuhan 

https://t.co/9eUellq2Tl",,,1,,,,1,,,
1228322043537563648,"#COVID19 News &amp; Info
AgNP Defense &gt;&gt; https://t.co/UEOI8INnwS &lt;&lt;

@PneumoniaWuhan: Avian Flu Diary: HK CHP Investigating 3 More COVID-19 Cases https://t.co/WZoIl2pF5V #wuhanpneumonia #coronavirus #covid19",,,1,,,,1,,,
1228324590327402496,"Valentines Day is a big deal in Japan. You give chocolate to your lover, your boss, and your friends. A month later you give return chocolates on White Day.

Expect the number if cases to spike in the 2 weeks after Vday and White Day. 
#coronavirus #coronavirusjapan #新型肺炎 https://t.co/AjGGleYGdu",,,1,,,,1,,,
1228326283148505089,"🌍🚗🦠 Supply-chain woes starting to manifest in Europe.

FIAT CHRYSLER SAYS RESCHEDULING PLANNED DOWN TIME AT SERBIA PLANT OVER AVAILABILITY OF COMPONENTS SOURCED IN CHINA 

#WuFlu",,,1,,,,1,,,
1228327695265812482,"So what's going on with Coronavirus? Check out our English summary of events here.

https://t.co/syv0QgNJcd

#CoronavirusChino #ingles #LearnEnglish #eltchat",,,1,,,,1,,,
1228344825579286528,"Just saw this on Amazon: Amazon Brand - Solimo Hand Sanitizer with Vitamin E and Aloe, 32 Fl Oz (Pack of 4) by Solimo https://t.co/fPpCm1Btr5 #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228373056080379905,"@robert_spalding It is regrettable, china has sinicized NZ, a gov haven't courage to save New Zealanders.
#chinazi",,,,1,,,1,,,
1228375197054459905,"Oops... 
The world shd aware China state owned corporates.
#Huawei #ChinaLies #China_is_terrorist

https://t.co/Aq995IjpV6",,,,,1,opinion,1,,,
1228375309063458816,"#CoronavirusOutbreak
PURELL Advanced Hand Sanitizer Naturals with Plant Based Alcohol-&gt;https://t.co/dTqwt5NGnt

-
#coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus  #coronaviruswuhan #2019nCoV",,,,,1,ad,1,,,
1228379666442047494,"This weeks Guardian Weekly front page (Global Edition)
Big bug 
The fight to contain coronavirus 
#coronaviruswuhan #coronavirusuk #CoronaVirus #frontpagestoday #TomorrowsPapersToday https://t.co/pFkGjlnjIt",,,,,1,opinion,1,,,
1228383590225809408,#covid19 #coronavirus #WuFlu this. https://t.co/QTx0ZLSoRY,,,,,1,opinion,1,,,
1228384046830497793,"Harvard 

HARVARD SAYS

“It is likely we’ll see a global pandemic...If a pandemic happens, 40% to 70% of people world-wide are likely to be infected in the coming year.”

#COVID19  #China, #CoronavirusOutbreak  #CoronaOutbreak  #coronaviruswuhan  #corononavirus #CoronaVirus https://t.co/lj3pV60NIV",,,1,,,,1,,,
1228387206613676034,Just saw this on Amazon: Deluxe Pandemic Kit for Individual https://t.co/vlq5cPyJ6I #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19,,,,,1,ad,1,,,
1228395052910641155,"3M Full Facepiece Reusable Respirator 6800, Paint Vapors, Dust, Mold, Chemicals, Medium https://t.co/En06flQO03 #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228397810120351744,"Japan Outbreak of Covid-19 Imminent

Local transmission at multiple locations in #Japan 

#CoronarvirusOutbreak #coronavirusjapan 

https://t.co/krCPyAHapK https://t.co/r2N5wl4jIP",,,1,,,,1,,,
1228401088644222976,"Sick of these jokes.

Instead of supporting people who are fighting for their lives, instead of bringing some hope to those depressed souls, people are making fun of them. Pathetic and shameful.

#coronavirus #WuhanCoronavirus  #CoronavirusOutbreak #coronaviruswuhan 
#COVID19 https://t.co/VuOEHLULw0",,,,,1,support,1,,,
1228405246591782912,"@robert_spalding I hope real Taiwanese #Taiwan will more close work the Alliance.
Now, KMT and their partners effort want #ChinaVirus to #outbreak in Taiwan.

#ChinaCoronaVirus 
#chinazi https://t.co/TcrD6WYV6B",,,1,,,,1,,,
1228407221190561792,"CORONAVIRUS PANDEMIC: A Rational Guide to the 2020 outbreak,How to Protect Yourself and Prepare for Quarantine 8 tips Michael Smith https://t.co/1BkyPGPNXS #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,1,,,,1,,,
1228408892952018944,Just saw this on Amazon: Eco Solutions N95 Respirator with Valve https://t.co/GhX03bwpfD  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19,,,,,1,ad,1,,,
1228410485638410241,"@hangen_claude In the rush to diagnose as many people as possible, we have this fake method of counting cases. https://t.co/7qNXG7HmWp #coronavirusjapan #coronaviruschina #coronaviruslondon #coronaviruschile #COVI19",,,,,1,opinion,1,,,
1228410835376078848,"@SpokespersonCHN so when will #chinazi stop beating innocent dogs? 
https://t.co/hFCgjhAPUP",,,,,1,que,1,,,
1228410939067764741,"#CoronavirusOutbreak
Are you looking for #coronavirus mask?  Dust Mask Anti Pollution Breathable Respirator Mask (4 N99 Filter Replacement + 2 Valves)-&gt;https://t.co/WV4XqqdAfi

-
#coronaoutbreak #wuhanflu #chinaflu #flu #virus  #coronaviruswuhan #2019nCoV",,,,,1,ad,1,,,
1228412596304388097,Shanghai Fashion Week postponed amid #CoronavirusChino outbreak -- as China's absence is felt on runways from Milan to Paris https://t.co/X52D80bvXY,,,1,,,,1,,,
1228417538473766913,"I want to this is simply scaremongering, especially given the dud that was the Swine Flu crisis, but I can't, because of the stringency of China's response to the disease is like nothing I've ever seen before. 

#CoronaVirus #WuFlu #CoVid19 https://t.co/ytSFYu0jvc",,,,,1,opinion,1,,,
1228421438920634368,Large flicks of crows in China!? #coronavirus #CoronaVirusCanada #coronaviruschina #CoronavirusOutbreak #CoronavirusUpdates #coronavirususa #coronavirusuk #Wuhan #wuhanquarantine #WuhanCoronavirusOutbreak #WuhanOutbreak https://t.co/4AZvHSpbWF,,,,,1,que,1,,,
1228426040508321792,"#coronavirusOutbreak  Related Protection Products-
Kleenex Germ Removal Wet Wipes for Hands and Face-&gt;https://t.co/4Xk5fjJsmP

-
#coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus  #coronaviruswuhan #2019nCoV",,,,,1,ad,1,,,
1228432095829266432,"Just saw this on Amazon: 3M 8511 Respirator, N95, Cool Flow Valve (5-Pack) by 3M Safety https://t.co/XIlQ5MrzHz  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228435112599138312,"Rescue Guard; First Aid, Disaster Kit; Emergency Survival Kit, Bug Out Bag for 12 Days, 6 Days for 2, 72 Hours 4 People https://t.co/6dAjGZsBrm  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228438016873639936,"#According to #China's state-run CCTV on Friday, #Hubei Province, the epicenter of the contagious virus, reported 116 deaths and four-thousand-823 new infection

#BaghdadPost  #ChinaziVirus 
https://t.co/VF5ZMlz4Fx",,,1,,,,1,,,
1228439466429173760,"will set aside $100 billion to fight hashtags ONE-NINE: hashtag TEN (February 15, 2020; 6:00 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #coronavirusoutbreak #wuhanvirus2020 #coronavirus #wuhanflu #wuhanvirus #covid2019 #covid19 #HKGOV",,,1,,,,1,,,
1228440240718786564,Everything you need to know about the coronavirus via @SCMPgraphics  https://t.co/qIweMqM73B #WuhanPneumonia #coronavirus #wuhanvirus,,,1,,,,1,,,
1228440263523065856,"HOT topic...,continued: hashtags TEN &amp; ELEVEN (February 15, 2020; 6:02 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #coronavirusoutbreak #wuhanvirus2020 #coronavirus #wuhanflu #wuhanvirus #covid2019 #covid19 #HUBEIPROVINCE #HUBEI",,,1,,,,1,,,
1228441141982285824,"HOT topic...,continued: hashtags ONE-NINE in hashtag TEN (February 15, 2020; 6:05 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #coronavirusoutbreak #wuhanvirus2020 #coronavirus #wuhanflu #wuhanvirus #covid2019 #covid19 #DIAMONDPRINCESSCRUISE",,,1,,,,1,,,
1228441482413002752,"speaking again: hashtags TEN &amp; ELEVEN (February 15, 2020; 6:07 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #coronavirusoutbreak #wuhanvirus2020 #coronavirus #wuhanflu #wuhanvirus #covid2019 #covid19 #WORLDHEALTHORGANIZATION #WHO",,,1,,,,1,,,
1228441664718614529,Anyone else wondering why so many people are tweeting this? I must have 100 people tweeting it every time I look up #coronavirus #wuhanflu #covid10 https://t.co/boIT2CXl2F,,,,,1,que,1,,,
1228446356076929032,"@IntyMedia 8th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/NsQxelQ2W1",,,1,,,,1,,,
1228449136351096833,"@SenTedCruz 4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/ewGsZjT2x1",,,1,,,,1,,,
1228449258388492291,"@sarawei3 @tonywan92031379 @Gnews202064 4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/b2bW5r3E3u",,,1,,,,1,,,
1228449622881918978,"@mlakan @RepGaramendi 4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/KlanEErhrf",,,1,,,,1,,,
1228449784010346501,"@koyehol567 4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/JWAb9PtHDJ",,,1,,,,1,,,
1228450187229700097,"4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/DzMk3pBG34",,,1,,,,1,,,
1228450414024110083,"@Reuters 4th February 2020, a remote town in Hubei, China. The local officials were patrolling in the street. 
#WuhanVirus #Coronavius #ChinaVirus #anticcp #Chinazi #StandwithHK #Covid19 #China https://t.co/sr1tdwUuXN",,,1,,,,1,,,
1228459061030653954,The flu is more dangerous than #coronavirus #nCoV2019 #wuhanflu is #propaganda #FakeNews if I've ever heard it. People who say this are #propaganda puppets!,,,,,1,opinion,1,,,
1228467550117388288,Nothing new !? #CoronavirusUpdates #coronavirus #CoronaVirusCanada #coronaviruschina #coronaviruswuhan #coronavirusafrica #coronavirusuk #coronavirususa #Wuhan #WuhanCoronvirus #WuhanLockDown #WuhanOutbreak https://t.co/KRuuflDDd1,,,,,1,que,1,,,
1228472006309367808,"Absolutely! Don't trust Communist China they have been using lies to build up the regime. In fact CCP itself is the biggest lie in human history.

#武漢肺炎 
#CCP_is_terrorist 
#CoronavirusOutbreak https://t.co/hxNwukLqkS",,,,1,,,1,,,
1228473776553115652,#CDC Director: #Virus is “Coming” to the US. #coronavirwuhan https://t.co/PVKjIbpLET #2019nCoV #CoronaOutbreak #coronaviruschina #VirusWuhan #COVID19 #china #Coronaviruschina #COVID2019 #CoronavirusOutbreak #coronavirus #coronavirususa,,,1,,,,1,,,
1228474344952811521,"Are these dead bodies?
#coronavirus #coronavirusoutbreak #coronaviruswuhan #China https://t.co/BX6nE6bgwG",,,,,1,que,1,,,
1228477704426704897,"HAWAII HAS A SUPERSPREADER EVENT OF THE #CORONAVIRUS #NCOV19 #COVID19 #CoronarvirusOutbreak #Coronavirustruth #coronavirususa #coronavirusus #coronavirusjapan #coronavirusupdate #coronavirusdeaths  
https://t.co/5BLSb9G0Su",,,1,,,,1,,,
1228484318995062784,"You want to know how disastrous the situation is: no mask in the markets can deal with #coronavirus... Seems like we are heading towards a global endgame, where only those with immunity will survive. #wuhanflu #WuhanVirus #WuhanCoronavirus #CoronavirusOutbreak #China #WHO https://t.co/wDHiYpf3bK",,,1,,,,1,,,
1228488901049888769,"Just saw this on Amazon: 3M 8511 Respirator, N95, Cool Flow Valve (10-Pack) by 3M https://t.co/ppEAp9KjGn #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228490080865718272,"Just saw this on Amazon: Clorox Healthcare Citrace Hospital Disinfectant &amp; Deodorizer, Aerosol Spray, Citrus, 14 Ounces https://t.co/VxTOO1qo24 #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228493616319991808,"Germ Guardian Pluggable Air Purifier &amp; Sanitizer, Eliminates Germs and Mold with UV-C Light, Deodorizer Room Air Freshener https://t.co/HAWKs7TbUQ #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228498090241515520,"Rescue Guard; First Aid, Disaster Kit; Emergency Survival Kit, Bug Out Bag for 12 Days, 6 Days for 2, 72 Hours 4 People https://t.co/6dAjGZsBrm   #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228498538868461570,Kudos to all the healthcare workers for the ultimate sacrifices they make for well-being of others. #wuhanquarantine #WuhanLockDown #COVID19 #China  https://t.co/2Y7dRuJPal,,,,,1,support,1,,,
1228499751043133440,"@Brand_HK Carrie Lam's relief measures obviously favour pro-establishment groups, aiding tour/retail/food...enterprises and some concerned families. Majority of Hong Kong population still suffer under #Wuhancoronavirus. Especially, medic subsidies are too late/ too little.
#FreeHongKong",,,,1,,,1,,,
1228509025899286530,"""I am scared. I have the virus in front of me. Behind me is China's Law enforcement."" -Chen Qiushi #陈秋实 - a citizen journalist/lawyer has been missing for over a  week now. #wuhanquarantine #WuhanVirus #WuhanCoronavirus @hrw @hrichina @cnnbrk @AJEnglish https://t.co/2H3Ge7d80t",,,1,,,,1,,,
1228515495760011264,"Just saw this on Amazon: 3M 07163 Full Facepiece Respirator Packout Organic Vapor P95, Large  https://t.co/UhQL9cspkp #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",,,,,1,ad,1,,,
1228515954285412355,"China knew way before...

#WuhanCoronavirusOutbreak #WuhanCoronavius #WuhanOutbreak #WuhanLockDown #China #ChinaCoronaVirus #ChinaVirus #COVID19 #COVID2019 https://t.co/Cu6vUMT7eQ",,,1,,,,1,,,
1228547600632176640,"WHEN YOUR GIRL,,,,ALL OF A SUDDEN GET'S A COUGH!!!
#CORONAVIRUS #NCOV19 #COVID19 #NCOV19UK #NCOV19AUS #CoronarvirusOutbreak #Coronavirustruth #coronavirususa #coronavirusus #coronavirusjapan #coronavirusupdate #coronavirusdeaths #coronavirusafrica https://t.co/v9IS04dVcy",,,,,1,fun,1,,,
1228548200837058560,"This. 

#coronavirus #wuhanflu #COVID19 https://t.co/cpo9HDpypb",,,,,1,opinion,1,,,
1228582504304709637,"#SARSCoV2 News &amp; Updates
AgNP Protection &gt;&gt; https://t.co/UEOI8INnwS &lt;&lt;

@PneumoniaWuhan: H5N1: Intensive care doctor tells of a hospital teetering on collapse in Wuhan https://t.co/uwqDnlAVCk #wuhanpneumonia #coronavirus #covid19",,,1,,,,1,,,
1228582512080883712,"#SARSCoV2 News &amp; Updates
AgNP Protection &gt;&gt; https://t.co/UEOI8INnwS &lt;&lt;

@PneumoniaWuhan: Here’s what coronavirus does to the body https://t.co/PAlFukrYve #wuhanpneumonia #coronavirus #covid19 https://t.co/ns7uBYv8NO",,,1,,,,1,,,
1228582516346572800,"#SARSCoV2 News &amp; Updates
AgNP Protection &gt;&gt; https://t.co/UEOI8INnwS &lt;&lt;

@PneumoniaWuhan: Novel Coronavirus: Health Care and Infection Prevention Implications https://t.co/vJBf4Lt5zt #wuhanpneumonia… https://t.co/QvIyjYu0XQ",,,1,,,,1,,,
1228587288533192704,"@benedictrogers Too early.

#nCoV #WuhanCoronavirus #WuhanOutbreak #WuhanPneumonia

#FightForFreedom #StandWithHongKong #DisbandHKPolice #SanctionGovHK #CondemnCarrieLam https://t.co/JgI2ebFJZe",,,,,1,opinion,1,,,
1228589762774216704,"According to #China's state-run CCTV on Friday, #Hubei Province, the epicenter of the contagious virus, reported 116 deaths and four-thousand-823 new infection

#BaghdadPost  #ChinaziVirus 
https://t.co/VF5ZMlz4Fx",,,1,,,,1,,,
1228601374205759491,"#SARSCoV2 News &amp; Updates
AgNP Protection &gt;&gt; https://t.co/UEOI8INnwS &lt;&lt;

@PneumoniaWuhan: Coronavirus Live Updates: Beijing Sets Stringent New Quarantine Rules https://t.co/geTa6ZPI6A #wuhanpneumonia… https://t.co/m1rO3A7FB4",,,1,,,,1,,,
1228607375340294144,"Just in from NHK Japan News:  Additional 67 infections confirmed on ""#DiamondPrincess"" cruise ship in Yokohama.  Now 285 people infected with #COVID19 on the cruise ship 🛳.  

#coronavirusjapan #coronavirus 

https://t.co/WmmnrmYfoH",,,1,,,,1,,,
1228610448502726656,This #coronavirus is going to take a huge toll on the world. #Wuhancoronavirus https://t.co/mXZrNHOzTP,,,,,1,opinion,1,,,
1228613048115585024,"#Japanese are always trying to hide the truth... and try to regard it as a no big deal. Well guess where's gonna be the next #Wuhan

#COVID19 #coronavirusjapan #coronavirus https://t.co/lVBKXI5x4g",,,,,1,opinion,1,,,
1228620731128242176,"GREAT news: NO new cases (# of cases STILL @ 56): hashtags ONE-SEVEN in hashtags EIGHT &amp; NINE (February 15, 2020; 18:00 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus2020 #wuhanvirus #wuhanflu #covid2019 #HONGKONG #HK",,,1,,,,1,,,
1228620926410866690,"again, NO appointments for THE NEXT SEVERAL WEEKS: hashtags ONE-SEVEN in hashtags EIGHT &amp; NINE (February 15, 2020; 18:00 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus2020 #wuhanvirus #wuhanflu #covid2019 #HONGKONG #HK",,,1,,,,1,,,
1228621432042786816,"people STILL UNDER OBSERVATION (TSING YI): hashtags ONE-SEVEN in hashtags EIGHT &amp; NINE (February 15, 2020; 18:04 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus2020 #wuhanvirus #wuhanflu #covid2019 #HONGKONG #HK",,,1,,,,1,,,
1228622888455962624,"setting aside $250 billion TO FIGHT hashtags ONE-SEVEN: hashtags EIGHT &amp; NINE (February 15, 2020; 18:07 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus2020 #wuhanvirus #wuhanflu #covid2019 #HKGOVT #HKGOV",,,1,,,,1,,,
1228622983972839424,"WILL THIS BE ENOUGH???!!! hashtags EIGHT &amp; NINE (February 15, 2020; 18:07 HKT) #wuhancoronavirusoutbreak #wuhancoronavirus #wuhanpneumonia #wuhanvirus2020 #wuhanvirus #wuhanflu #covid2019 #HKGOVT #HKGOV",,,1,,,,1,,,
1228624669030273025,"@SolomonYue #China all of thing aren't reliable 

The deal of agreement for #Chinese isn't meaning, they break the promise always
and they can't provide with good quality for manufacturer

#AnywherebutChina #BoycottChina #antichinazi #WuhanVirus",,,,,1,opinion,1,,,
1228629867970715648,"@joshuawongcf @cambridgeunion I believe #HongKong is economically very important to China, or else the Tiananmen Square Massacre would have repeated in 2019 Hong Kong...! #antichinazi https://t.co/ChivVZ3rs2",,,,1,,,1,,,
1228632655773622272,"Chinese mobile company Huawei on the target of the US due to stealing intelligence information
Read full article 
https://t.co/abDq1AKqQJ
#China #ChinaVirus #China_is_terrorist #ChinaLies #USA #USArmy #BreakingNews #LATEST #HUAWEIMateBookD #SaturdayThoughts #SaturdayVibes https://t.co/VYfzzWm7Ef",,,1,,,,1,,,
1228669806263590913,"#coronavirus turns into a paranoia of cultural revolution that started on May 16, 1966 in #China. That day, the Red Guards turned into corona guards today. #who #WuhanCoronavius #ChinaPneumonia #CoronavirusChino #CoronavirusOutbreak #Chinese #world #ChinaWuHan https://t.co/K36YmBrf8U",,,1,,,,1,,,
1228670789873831936,"@KuzzatAltay Chinese nationalism based build on Extreme Racism to rub.
China means is Core of the world : you're a beast, you can only be a Chinese'd slave.

#mulan #boycottMulan 
#black
#Uyghur 
#Tibet #UyghurGenocide 
#chinazi",,,,1,,,1,,,
1228674585463316481,"When the virus starts to bite in the UK (because of governments' ineptitude vis-a-vis quarantining potential carriers) we can expect to see similar scenes in the UK. 

#CoronaVirus #WuFlu #CoVid19 https://t.co/yeBI6fV9cC",,,,1,,,1,,,
1228676999192825863,May b inspired by #madeinchina #Netflix 😀😀😀 https://t.co/rLsCrcq9yj,,,,,1,opinion,1,,,
1228678825023660032,"@livecrisisnews 🔴 Corona Virus  Update-  [L I V E]  
#coronavirus  #covid19 #coronavirusOutbreak #coronavirusjapan #coronavirusgermany #coronaviruschina #Coronavirusmexico #coronavirusthailand #coronavirusitalia #coronavirususa #coronaviruscanada #coronavirusfrance 
👇👇
https://t.co/zO5WdpjHEa https://t.co/AfQIC7EXEG",,,1,,,,1,,,
