1270445606490771464,#Uyghur #UyghurHolocaust #uyghurpulse #Uyghurlivesmatters #uygur #Uighur #Dogutuerkistandazuluemvar #DoğuTuerkistanYalnızDeğildir #doğutürkistan #uygurlarabayramyok #uyghurgenocide #EastTurkistan #China_is_terrorist #ChinaVirus #Cami BÖLE İYİ Mİ? https://t.co/FieNPa1VCA,Uyghur UyghurHolocaust uyghurpulse Uyghurlivesmatters uygur Uighur Dogutuerkistandazuluemvar DoğuTuerkistanYalnızDeğildir doğutürkistan uygurlarabayramyok uyghurgenocide EastTurkistan China_is_terrorist ChinaVirus Cami,tr,Tue Jun 09 20:00:10 +0000 2020,120179981,tatarislamtürkü,,,,başkent
1270185119488380931,"@globaltimesnews But as always no trust on china who has habbit of cheating by products and by its actions too 
#bycottchineseproducts 
#BYCOTTMADEInCHINA 
#bycottchina
#wuhanvirus
#chinesevirus",bycottchineseproducts BYCOTTMADEInCHINA bycottchina wuhanvirus chinesevirus,en,Tue Jun 09 02:45:06 +0000 2020,1226024199702994944,Gourav_upadhyay,,,,"New Delhi, India"
1270185634615791617,"भारत में Corona Virus के ढाई लाख (256,611) से ज्यादा केस हो चुके है। इन केस की सख्या के आधार पर भारत दुनिया में 5वें नंबर पर आ गया है । 🙏🏼 कृपया करके सावधानी रखे और इसे फैलने से रोके। #covid19 #coronavirus #coronaindia #latestnewscorona #tenexmagazine https://t.co/Z9fi7pf643",covid19 coronavirus coronaindia latestnewscorona tenexmagazine,hi,Tue Jun 09 02:47:08 +0000 2020,1270056536652431360,Tenex Magazine,,,,"Noida, India"
1270185669160251393,"'Covid-19 is a gift from China &amp; a very bad gift 😂😂😂🤣🤣🤣..they should've stopped it': Donald Trump. #ChinaLiedPeopleDied #China 
https://t.co/Llt4wduTSS

via @GoogleNews",ChinaLiedPeopleDied China,en,Tue Jun 09 02:47:17 +0000 2020,930387980203651073,Sheikh Zahirul Aslam,,,,India
1270186026619764738,Dramatic spikes in auto traffic around major hospitals in Wuhan last fall suggests virus spreading earlier than December- Harvard Medical School study suggests #CCPVirus #Covid19 #CCPChina https://t.co/AD6qcp6Vzn,CCPVirus Covid19 CCPChina,en,Tue Jun 09 02:48:42 +0000 2020,341908793,chinahrview,,,,USA
1270186268928901121,"@globaltimesnews India will alone give u a solid reply dont worry @globaltimesnews 
#BYCOTTMADEInCHINA 
#bycottchineseproducts 
#wuhanvirus
#ChineseVirus",BYCOTTMADEInCHINA bycottchineseproducts wuhanvirus ChineseVirus,en,Tue Jun 09 02:49:40 +0000 2020,1226024199702994944,Gourav_upadhyay,,,,"New Delhi, India"
1270186302856519681,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 02:49:48 +0000 2020,2792186003,蔡陶貴,,,,taiwan
1270187250446471170,"The World Bank is only now realizing the extent of the damage wrought by the lunatic #lockdown response to the #CCPVirus.

Pity neither they nor any of the world's governments thought about this before they destroyed the world #economy

https://t.co/wEiTEQf6TY

#news #jobs #trade",lockdown CCPVirus economy news jobs trade,en,Tue Jun 09 02:53:34 +0000 2020,2894982337,Peter Nayland Kust,,,,"Cypress, Texas"
1270187472857767937,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 02:54:27 +0000 2020,1110193840051445760,Squirrel Mama🐿,,,,USA
1270187584577126400,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 02:54:53 +0000 2020,951633662,Ricky Yip Fkeung,,,,"Lam Tin, Hongkong"
1270187589459300352,"RT @ADevotedYogi: Over the #wuhanvirus #lockdown, yet still concerned about your #immunesystem?
You should be! 

Practice more #Yoga https:…",wuhanvirus lockdown immunesystem Yoga,en,Tue Jun 09 02:54:54 +0000 2020,787733815267504128,Blue Zone Marketing,,,,"Carson City, NV"
1270188007916802050,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 02:56:34 +0000 2020,978864793477054465,✝️🇺🇸🇮🇹Rose⭐️⭐️⭐️ ⭐️4 Stars 4 Gen FLYNN🇺🇸💙,,,,USA
1270188042242809861,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 02:56:42 +0000 2020,882189211,meowmeowmeow,,,,"Los Angeles, CA"
1270188118277107712,RT @jenniferatntd: Exclusive internal files show that it took 9 days for #Beijing to announce its first #CCPVirus #COVID19 case: patient sa…,Beijing CCPVirus COVID19,en,Tue Jun 09 02:57:01 +0000 2020,885308618727317506,鹿克思,,,,United States Minor Outlying I
1270188391976624129,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 02:58:06 +0000 2020,986716551935016960,Trevor ⭐️⭐️⭐️,,,,"Georgia, USA"
1270356354520231937,USA needs to go after W. H. O. &amp; China - latest study shows 'Asymptomatic' Spread of COVID-19 is very rare - a retraction of their initial reports! We were locked-down &amp; our economy is crushed because of disinformation! #BoycottChina #WorldHealthOrganization https://t.co/Kt7XIzBppv,BoycottChina WorldHealthOrganization,en,Tue Jun 09 14:05:31 +0000 2020,916141926805413888,Rita A Lustig,,,,"Montrose, IL"
1270358093751128064,@XHNews #ChinaLiedAndPeopleDied #ChinaVirus,ChinaLiedAndPeopleDied ChinaVirus,und,Tue Jun 09 14:12:26 +0000 2020,128158797,viresh luthra,,,,dilli bc
1270358133202989056,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 14:12:35 +0000 2020,281273320,SavetheChildren,,,,"Miami, FL"
1270358314627395585,"#ChinaLiedAndPeopleDied  Certainly not conclusive, but very intriguing info, now, isn't it? @JimG_Patriots @Tobin1634 https://t.co/Zoykdy2UYn",ChinaLiedAndPeopleDied,en,Tue Jun 09 14:13:18 +0000 2020,57408947,David Evangelista,,,,"North Andover, MA"
1270358398609969152,"@GoddessCru @SophiaTesfaye If the evil fascist totalitarian Chinese Communist Party #CCP responsible for the global pandemic are not stopped then all the countless people who have died or suffered, directly or indirectly, due to the #CCPVirus will have died and suffered in vain. https://t.co/HwAWywWJht",CCP CCPVirus,en,Tue Jun 09 14:13:39 +0000 2020,2797113518,David F. Priest,,,,"Melborne, Australia"
1270358611412365313,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 14:14:29 +0000 2020,107905668,Kay Smith,,,,"Big Spring, Texas USA"
1270358800197980161,RT @nglinsman: Satellite images of packed Wuhan hospitals suggest coronavirus outbreak began earlier than thought #CCPVirus. Of course it d…,CCPVirus,en,Tue Jun 09 14:15:14 +0000 2020,3425036032,Ray Martin,,,,"Brampton, Ontario"
1270359094730219520,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 14:16:24 +0000 2020,1246087810039201794,RayTong86,,,,香港
1270360203108605954,"i was banned at fb for this and i'm wheezing to death 😭😭😂😂😂

#fuckthechinesegovernment
#FuckChina
#china 
#ChinaVirus https://t.co/s5zntADf6O",fuckthechinesegovernment FuckChina china ChinaVirus,en,Tue Jun 09 14:20:49 +0000 2020,4825780693,G⃠a⃠e⃠l⃠,,,,"Gen. Santos City, Soccsksargen"
1270360465684627456,#ChinaLiedAndPeopleDied https://t.co/NbwDbChxYl,ChinaLiedAndPeopleDied,und,Tue Jun 09 14:21:51 +0000 2020,61941181,KaCzar Lhal Hol,,,,"Sta Rosa ,Laguna Philippines"
1270360704667848704,#chinaliedandpeopledied https://t.co/7MKGX3sKqA,chinaliedandpeopledied,und,Tue Jun 09 14:22:48 +0000 2020,29505691,Lucio Arroz,,,,"Washington, DC"
1270361279509803012,"#CNBC confirm #WHO is an arm of the Chinese #CCP
18 Mar 2020

#QUOTE #WHO officials warn US President Trump against calling #coronavirus 'the Chinese virus'
https://t.co/U0oGg68MEe

#WuhanVirus #COVID19 #ChinaVirus #CCPVirus

qt-covid19-news-088 by #BorderObserver",CNBC WHO CCP QUOTE WHO coronavirus WuhanVirus COVID19 ChinaVirus CCPVirus BorderObserver,en,Tue Jun 09 14:25:05 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1270361423290552322,"Nasz rap #hot16challenge2 o #matura2020 &amp; #COVID__19 &amp; #HongKong🇭🇰&amp; #AllLivesMattter 🎙️@samuel_greta &amp; @KChojecka prod. waytoolost
Dzięki ekipie @idzpodpradpl! #ThankGod
[PL🇵🇱/🇬🇧ENGLISH VERSION]

Rap on #CCPVirus &amp; #FreeHongKong &amp; #GeorgeFloyd &amp;
#ChristiansForUSA

@AgainstTideTV https://t.co/7HrwQhlAFy",hot16challenge2 matura2020 COVID__19 HongKong AllLivesMattter ThankGod CCPVirus FreeHongKong GeorgeFloyd ChristiansForUSA,pl,Tue Jun 09 14:25:40 +0000 2020,870029444,Eunika Chojecka,,,,"Lublin, Polska"
1270362877099196417,RT @Arwencanada: @smh China hasn’t provided vital information and asked WHO covering up the virus outbreak. #ChinaLiedPeopleDied #WHOLiedPe…,ChinaLiedPeopleDied,en,Tue Jun 09 14:31:26 +0000 2020,58485672,Professor Fernandes 🇧🇷🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸,,,,"Florianópolis, Brazil"
1270363041155018754,RT @nglinsman: Satellite images of packed Wuhan hospitals suggest coronavirus outbreak began earlier than thought #CCPVirus. Of course it d…,CCPVirus,en,Tue Jun 09 14:32:05 +0000 2020,944102875,Kel W,,,,Dallas
1270363318838915074,"RT @OverTheMoonbat: #Wuhan #WuhanLab #CCP | #Vigilance | #Bioweapons #Biowarfare | #Transparency 

Sharri Markson (@SharriMarkson)

Wuhan V…",Wuhan WuhanLab CCP Vigilance Bioweapons Biowarfare Transparency,en,Tue Jun 09 14:33:12 +0000 2020,441251850,OverTheMoonbat⭐️⭐️⭐️,,,,"Free Flynn, Stone, & Assange"
1270363334554955776,"RT @OverTheMoonbat: #Wuhan #WuhanLab #CCP | #Vigilance | #Bioweapons #Biowarfare | #Transparency 

@Telegraph

Exclusive: Coronavirus began…",Wuhan WuhanLab CCP Vigilance Bioweapons Biowarfare Transparency,en,Tue Jun 09 14:33:15 +0000 2020,441251850,OverTheMoonbat⭐️⭐️⭐️,,,,"Free Flynn, Stone, & Assange"
1270363352137527296,"In $37 million push to buy Chinese-made masks for COVID-19, Washington state runs into delays, poor quality and fit problems #ChinaLiedPeopleDied https://t.co/YDwI5tboBg via @seattletimes",ChinaLiedPeopleDied,en,Tue Jun 09 14:33:20 +0000 2020,17339157,PawPawDude,,,,"Seattle, WA"
1270363796423487488,"Far-left mag #TheAtlantic says

China Is Avoiding Blame by Trolling the World
https://t.co/j3oL20MkVB
19 Mar 2020

#QUOTE The evidence of China's deliberate cover-up (..) is a matter of public record. 

#COVID19 #CCPVirus

qt-covid19-news-099 by #BorderObserver",TheAtlantic QUOTE COVID19 CCPVirus BorderObserver,en,Tue Jun 09 14:35:05 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1270363963285311489,"RT @Bigthin83310115: 米司法省は、N95マスクの基準を満たしていない偽の商品を50万枚近く米国の業者に販売したとして中国企業を起訴した。
恥知らず、悪魔の国だ。
#CCPVirus #terroristChina  https://t.co/kLKlOQ90…",CCPVirus terroristChina,ja,Tue Jun 09 14:35:45 +0000 2020,152659972,つぶあん(大阪都淀川区在住）,,,,大阪市
1270364941271412744,#ChinaLiedAndPeopleDied  #ChinaVirus https://t.co/zcGdL0Ob9s,ChinaLiedAndPeopleDied ChinaVirus,und,Tue Jun 09 14:39:38 +0000 2020,173259652,Fernando Costa✝️🇧🇷🇮🇱,,,,RJ - Brasil
1270365235522629632,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 14:40:49 +0000 2020,2694531008,Joe Man #Cult45,,,,USA
1270366095309000704,"Welcome to ✈️ China 🇨🇳 Capital - Beijing
#irbismanworld #1W1F #oneworldonefamily 
The online journey has begun! The first country where we went and dance to their songs! 
Follow the location📍and hashtags #️⃣ #中国 #china #beijing #madeinchina 
Please support🤝 #stayhome #staysafe https://t.co/tLt9VMvXeO",irbismanworld 1W1F oneworldonefamily 中国 china beijing madeinchina stayhome staysafe,en,Tue Jun 09 14:44:14 +0000 2020,1257484547526144002,irbisman.tv,,,,"Адлер, Россия"
1270367436701908992,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:49:33 +0000 2020,1003758059997540352,Fora Esquerda 👉 Estamos numa neurocirurgia.,,,,"São Paulo, Brasil"
1270367517496627200,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:49:53 +0000 2020,1166182255263240192,james,,,,"New Taipei City, Taiwan"
1270367538136965122,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:49:58 +0000 2020,905241458403405824,Christina Miller,,,,A Pennsylvania Deplorable 
1270367541416857600,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:49:58 +0000 2020,751420053199826944,李倍儿喜,,,,"French Valley, CA"
1270367861077192709,"#COVID__19
Most dangerous virus in d world China #CCP #GlobalPariah
 
#jaihindkisena 
#MakeChinaPay 
#BoycottChina 
#BoycottChineseProducts 
#ChineseVirus 
#CCPVirus 
#ChineseCommunistParty 
#CCP_is_terrorist 

https://t.co/B042G9YllY",COVID__19 CCP GlobalPariah jaihindkisena MakeChinaPay BoycottChina BoycottChineseProducts ChineseVirus CCPVirus ChineseCommunistParty CCP_is_terrorist,en,Tue Jun 09 14:51:15 +0000 2020,4065448879,Dr@g#n 🎆🇮🇳🎆,,,,Poland
1270368062605193216,"#tumbbad
 #COVID__19
Most dangerous virus in d world China #CCP #GlobalPariah
 
#jaihindkisena 
#MakeChinaPay 
#BoycottChina 
#BoycottChineseProducts 
#ChineseVirus 
#CCPVirus 
#ChineseCommunistParty 
#CCP_is_terrorist 

https://t.co/B042G9YllY",tumbbad COVID__19 CCP GlobalPariah jaihindkisena MakeChinaPay BoycottChina BoycottChineseProducts ChineseVirus CCPVirus ChineseCommunistParty CCP_is_terrorist,en,Tue Jun 09 14:52:03 +0000 2020,4065448879,Dr@g#n 🎆🇮🇳🎆,,,,Poland
1270368736952881152,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:54:43 +0000 2020,712440047807520769,Z🐬 🇺🇸 Bless Your Heart! 💕,,,,"N Myrtle Beach, SC  USA"
1270368836890570753,"Well it's really starting to become clearer now that #China knew more than it admitted:
https://t.co/dJqcMSFR2x
#ChinaLiedAndPeopleDied, #coronavirus #Covid_19 #WuhanCoronovirus #WuhanFlu
#TrumpLiesAmericansDie",China ChinaLiedAndPeopleDied coronavirus Covid_19 WuhanCoronovirus WuhanFlu TrumpLiesAmericansDie,en,Tue Jun 09 14:55:07 +0000 2020,1242291795641266176,Nm Covid-19 - - Dab,-112.1246767,33.552862600000005,"Phoenix, AZ, United States","Santa Fe, NM"
1270368896067923969,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:55:21 +0000 2020,9451342,Hania Shen 沈漢娜🇵🇱🇹,,,,Taipei
1270369366148816897,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:57:13 +0000 2020,3939870857,Cynthia 🇺🇸,,,,"Qrlando, FL"
1270369555785715714,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 14:57:59 +0000 2020,1119097371827159040,Richard George Banin,,,,prince rupert
1270264348334669824,#CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinazi #ChinaVirus #StandwithHK #Chinavirus #MuslimHolocaust #EastTurkestan #StandWithHongKong #HKpolice #HKPoliceTerrorists #HKPoliceBrutality #HongKongProtests https://t.co/ijNJq8fNYV,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall Chinazi ChinaVirus StandwithHK Chinavirus MuslimHolocaust EastTurkestan StandWithHongKong HKpolice HKPoliceTerrorists HKPoliceBrutality HongKongProtests,und,Tue Jun 09 07:59:55 +0000 2020,3286577887,Humanity_Matters,,,,تايوان
1270266448099684354,"@r7cx2JzBpBj2KwE #ChineseWuhanVirus 
#ChineseVirus19 
#ChinaVirus 
#ChinaLiedPeopleDied 
#China spread #ChineseVirus &amp; #ChineseBioterrorism to word.
#XiJinpingIsWinnieTheFlu.
#XiJinpingIsWinnieThePooh",ChineseWuhanVirus ChineseVirus19 ChinaVirus ChinaLiedPeopleDied China ChineseVirus ChineseBioterrorism XiJinpingIsWinnieTheFlu XiJinpingIsWinnieThePooh,en,Tue Jun 09 08:08:16 +0000 2020,83846317,Neeraj Sharma,,,,India
1270266597010259968,What an idiot. The time for the warning was in Dec 2019. The world cannot be locked down forever. #ChinaLiedPeopleDied https://t.co/jFih2gvdrk,ChinaLiedPeopleDied,en,Tue Jun 09 08:08:51 +0000 2020,313406010,Penn Temp,,,,406 kms from Pune
1270266893681770496,"程曉容： #中共推出 #抗疫白皮書 繼續 #撒謊
⚡️中共是「依法、公開、透明、負責任」嗎？
⚡️中共「不計代價搶救生命」？
⚡️中共為何急於洗白？
全文👉https://t.co/3Re0zRimcZ
#CCPVirus #CCP #coronavirus https://t.co/P3uLLHHWX3",中共推出 抗疫白皮書 撒謊 CCPVirus CCP coronavirus,zh,Tue Jun 09 08:10:02 +0000 2020,1168712423785861122,香港大紀元,,,,香港
1270266938111848448,"&gt; 7.2 million people have been infected by #WuhanVirus more than 408 thousands deaths worldwide and the number is keep growing. We shall not forget China hid the outbreak’s severity and spread disinformation. 
#ChinaLiedPeopleDied 
#ChinaMustPay 
#DecoupleChina
#MilkTeaAlliance https://t.co/HzZ3uTWDWn",WuhanVirus ChinaLiedPeopleDied ChinaMustPay DecoupleChina MilkTeaAlliance,en,Tue Jun 09 08:10:13 +0000 2020,1266626315626508289,Chin Cheung,,,,Malaysia
1270268997213097984,#CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinazi #ChinaVirus #StandwithHK #Chinavirus #MuslimHolocaust #EastTurkestan #StandWithHongKong #HKpolice #HKPoliceTerrorists #HKPoliceBrutality #HongKongProtests https://t.co/0cdhKzuFLx,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall Chinazi ChinaVirus StandwithHK Chinavirus MuslimHolocaust EastTurkestan StandWithHongKong HKpolice HKPoliceTerrorists HKPoliceBrutality HongKongProtests,und,Tue Jun 09 08:18:24 +0000 2020,3286577887,Humanity_Matters,,,,تايوان
1270269668968796160,#WuhanVirus #China #ChinaLiedPeopleDied . Satellite images of packed Wuhan hospitals suggest coronavirus outbreak began earlier than thought https://t.co/wbYdN9aiSQ,WuhanVirus China ChinaLiedPeopleDied,en,Tue Jun 09 08:21:04 +0000 2020,112699325,HF Ⓥ,,,,The World
1270271539972239362,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 08:28:30 +0000 2020,1253177255364190208,Jackie Cheng,,,,Hong Kong
1270271651108622336,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 08:28:56 +0000 2020,987922292817608705,HongKong goldfish,,,,香港
1270271748282429440,RT @VNiquet: This is why an international investigation on the #wuhanvirus #COVID19 that still kills thousands worldwide and caused irrepar…,wuhanvirus COVID19,en,Tue Jun 09 08:29:19 +0000 2020,2784231505,Dorian Malovic,,,,"Paris, France"
1270272175845576704,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 08:31:01 +0000 2020,1566816938,☀️jp🇺🇸🦅❤️KAG/2020❤️,,,,👁
1270272640373014528,"For spreading China P4 Lab virus &amp; lying &amp; crimes against humanity:
Confiscate all assets of China &amp; its officials/relatives
Move supply chains out of China
#TearDownChinaFirewall
#DelistChina
#DivestChina
#DecoupleChina
#FuckChina
#FuckUN
#FuckDemocrats
#FuckMedia
#FuckHollywood https://t.co/v7ew6JfGKf",TearDownChinaFirewall DelistChina DivestChina DecoupleChina FuckChina FuckUN FuckDemocrats FuckMedia FuckHollywood,en,Tue Jun 09 08:32:52 +0000 2020,1196763063858282496,Coolidge/Reagan/Trump Conservative 🇺🇸Porky 3.0.0,,,,God's Country the U.S.A.
1270273111582281728,RT @StevenWMosher: The Wuhan lab and Dr. Shi Zhengli faked finding a new coronavirus in order to claim that the #CCPVirus came from nature.…,CCPVirus,en,Tue Jun 09 08:34:44 +0000 2020,2690808553,Sandy Mitchell,,,,"Oklahoma, USA"
1270274452555735048,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 08:40:04 +0000 2020,982512099493638144,GR8LAKE⭐️⭐️⭐️,,,,United States
1270274549704261633,RT @haimohamed21: #CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinaz…,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall,und,Tue Jun 09 08:40:27 +0000 2020,1256558820702261248,#ChinaMustFall Movement,,,,Worldwide- for all of humanity
1270274571275567104,RT @haimohamed21: #CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinaz…,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall,und,Tue Jun 09 08:40:33 +0000 2020,1256558820702261248,#ChinaMustFall Movement,,,,Worldwide- for all of humanity
1270275112953155586,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 08:42:42 +0000 2020,403662188,Bevlyn 🇬🇧❤️🇺🇸🙏#WWG1WGA# MAGA #QAnon,,,,UK
1270275115431989253,RT @Cutwitts: #WuhanVirus #China #ChinaLiedPeopleDied . Satellite images of packed Wuhan hospitals suggest coronavirus outbreak began earli…,WuhanVirus China ChinaLiedPeopleDied,en,Tue Jun 09 08:42:42 +0000 2020,368433206,pepe,,,,the netherlands
1270276046399639553,"https://t.co/virPo2INax

Sorry, any platform or global body with #CCPChina as its member, cannot solve grave issues. #BoycottChina #DecoupleChina",CCPChina BoycottChina DecoupleChina,en,Tue Jun 09 08:46:24 +0000 2020,1224653210926841856,Thomas M. wood,,,,Arctic 
1270276181045190664,RT @Cutwitts: #WuhanVirus #China #ChinaLiedPeopleDied . Satellite images of packed Wuhan hospitals suggest coronavirus outbreak began earli…,WuhanVirus China ChinaLiedPeopleDied,en,Tue Jun 09 08:46:56 +0000 2020,908795104323923970,Adriana Rodriguez,,,,"Miami, FL"
1270276398771589123,"@JestTanya @ChickImmigrant @caramastrey This joke affirms your statement.

#CCPVirus JOKE

JUST NOW CONFIRMED

If you stick your tounge into a person's mouth, you could get #CoronaVirus 
.
.
.
and a black eye.",CCPVirus CoronaVirus,en,Tue Jun 09 08:47:48 +0000 2020,819519735637377024,jesse Politic 650,,,,West TX
1270276660991049728,RT @VNiquet: This is why an international investigation on the #wuhanvirus #COVID19 that still kills thousands worldwide and caused irrepar…,wuhanvirus COVID19,en,Tue Jun 09 08:48:51 +0000 2020,562164378,zhongguowenhua,,,,France
1270276783078662144,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 08:49:20 +0000 2020,1134745026049630209,nzwineful,,,,"Auckland, New Zealand"
1270277105494810626,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 08:50:37 +0000 2020,107359194,Jacam,,,,USA
1270277783579774977,RT @nicky67748488: 👀👂🏻 hes right you know !! You should wake up now and start paying attention !! #ChinaLiedPeopleDied #WHOLiedPeopleDied #…,ChinaLiedPeopleDied WHOLiedPeopleDied,en,Tue Jun 09 08:53:18 +0000 2020,1159428881516060678,i_love_me_more,,,,United Kingdom
1270279928844480513,"RT @_Pehicc: @StarSuperfan42 #BoycottChina 😡🤬😡🤬👊
A country with no #AnimalWelfareLaws a country where in a FEW days #YulinFestival will go…",BoycottChina AnimalWelfareLaws YulinFestival,en,Tue Jun 09 09:01:50 +0000 2020,803132614143946752,Sally,,,,Japan
1270279982242136067,"Isn’t it weird that the epitome of western economic power, New York, suffered so badly with covid cases. Almost like someone was keen to bring their opposing super power to its knees. 🤔#wuhanflu",wuhanflu,en,Tue Jun 09 09:02:03 +0000 2020,3624675504,Ben Edwards,,,,"Brisbane, Queensland"
1270280397255897090,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 09:03:42 +0000 2020,1181230436707487745,Li Kwong Kuen,,,,Hong Kong
1270280467778899968,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 09:03:58 +0000 2020,1163782642312966146,Horace So,,,,Hong Kong
