1262129658931355653,"#CCPVirus #ChinaLiedPeopleDie #Coronakrise 
KPCh-Virus (SARS-CoV2) zeigt: Vertrauen in KP-China ist gefährlich. Verbindung minimieren!

https://t.co/XTJT2q76jv https://t.co/sc3k90Zgnu",CCPVirus ChinaLiedPeopleDie Coronakrise,de,Sun May 17 21:15:34 +0000 2020,3909867868,Erik Rusch,,,,Berlin
1261877899021320192,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 04:35:10 +0000 2020,4002078447,real2019_samHK,,,,United States
1261877988699717633,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:35:31 +0000 2020,121611794,Paddy56,,,,SYDNEY 
1261878174251696128,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:36:15 +0000 2020,186137548,Lady Of The Kingdom,,,,Vineam Deus
1261878397627662337,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:37:09 +0000 2020,94613280,PAT PASQUA🇺🇸,,,,NJ
1261878468373086210,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:37:26 +0000 2020,29547555,JourneysNonnie,,,,Florida
1261878489516371968,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:37:31 +0000 2020,138889809,Boomer Rube ∂(Megan)/∂(t)🇺🇸,,,,Taxifornia
1261878533066031105,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:37:41 +0000 2020,558517155,KW900,,,,United States
1261878610861920257,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:38:00 +0000 2020,808648679645069312,Cindy Kay Hogan,,,,"Lewisville, Texas 75077"
1261878807369338880,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:38:46 +0000 2020,1078544012028661760,Ken Davis #KAG #PostDisclosure #5-D-Earth,,,,NOW LIVING IN FLORIDA 
1261878871659610118,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:02 +0000 2020,824422289068290048,❌ kalli ❌ No Trains,,,,God's Country
1261879001842253826,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:33 +0000 2020,1197212094690578432,Dr. DWillC,,,,AZ
1261879041696595969,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:42 +0000 2020,1226849609957433344,diggero,,,,Georgia
1261879070306033665,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:49 +0000 2020,873656746371407873,MagdaleneMoments,,,,"Florida, USA"
1261879088878202882,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:54 +0000 2020,859219800,Nucking Futs Robert,,,,"Arizona, USA"
1261879113792598018,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:39:59 +0000 2020,35494440,B Darling Malone,,,,"Lexington, KY"
1261879218838831105,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:40:25 +0000 2020,788926906964017152,CC,,,,"Missouri, USA"
1261879333288841216,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:40:52 +0000 2020,1159452002646134786,"Joe ""Bob"" McCarthy #KAG #FlynnFighters #OANN",,,,ManchVegas
1261879370714472449,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:41:01 +0000 2020,983794102792671238,Naval Infantry⭐️⭐️⭐️⭐️🚀🇺🇸,,,,"Marine Corps Veteran, California, USA"
1261879576466034688,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:41:50 +0000 2020,828029515322400768,Anthony Mulquiney. ⭐️⭐️⭐️,,,,"Mittagong, Bowral - Mittagong"
1261879594854031361,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:41:54 +0000 2020,255798117,LadyAnneNY🇺🇸,,,,"Brooklyn, NY"
1261879603548782593,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:41:56 +0000 2020,2829196009,TrumpCat4-⭐️⭐️⭐️⭐️,,,,"North Dakota, Land of the Free"
1261879607185166336,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:41:57 +0000 2020,2560588812,Bay-Area,,,,Commiefornia 
1261879801666662402,"The WuhanPoo? The WuHuPoof? WHAT?

If a mask covers droplets, wouldn’t our tidy whities work on the other end? 🤔

Just curious. ... Asking for a friend.

#Covid19 #WuhanVirus #ChinaVirus #ChinaLiedAndPeopleDied #WuHanPoof  https://t.co/dQljR9r20d",Covid19 WuhanVirus ChinaVirus ChinaLiedAndPeopleDied WuHanPoof,en,Sun May 17 04:42:43 +0000 2020,26772013,⚔️🛡🇺🇸 𝔽𝕒𝕝𝕝𝕚𝕓𝕝𝕖 𝕄𝕖/𝕋𝕋 ⭐️⭐️⭐️,,,,USA
1261879829361721344,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:42:50 +0000 2020,2321474251,Grateful🇺🇸 MtnPatriot ⭐️ ⭐️ ⭐️,,,,Western North Carolina
1261879960047771650,#CCPVirus #ChinaMustPay @ChinaUncensored @ChinaInFocusNTD @GordonGChang @TheTrueChannel @NHKWORLD_News #nhk #QArmyJapan #QArmy #WWG1WGAWOLDWIDE @okabaeri9111 @Lai__chan @StacyChen20 #WWG1WGA_WORLDWIDE https://t.co/mN013cpOwH https://t.co/V2ZzPWCUXR,CCPVirus ChinaMustPay nhk QArmyJapan QArmy WWG1WGAWOLDWIDE WWG1WGA_WORLDWIDE,und,Sun May 17 04:43:21 +0000 2020,23834472,ochachacha2,,,,"Mission Viejo, CA"
1261880005023412224,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:43:32 +0000 2020,792187016301518850,RidiQlous Bullschiff,,,,United States
1261880017782542336,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:43:35 +0000 2020,946748324593520640,Weldon Ayers,,,,USA
1261880034685575175,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:43:39 +0000 2020,321518358,AitchJay StopUsingZoomNow🇺🇸,,,,NY
1261880159067607040,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:44:09 +0000 2020,2952557518,Joseph Alan,,,,"Bay, Gulf of Mexico"
1261880372599468032,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:45:00 +0000 2020,54773913,🇺🇸Veteran Apologist🇺🇸,,,,USA
1261880480946782209,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:45:25 +0000 2020,235734072,End1913,,,,USA 
1261880486449774592,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:45:27 +0000 2020,3481409717,Low Profile Superhero,,,,Ocala fl
1261880557048172545,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:45:44 +0000 2020,1162814666029985792,Dianna❤TrumpCult45🇺🇸🇺🇸,,,,"Oregon, USA"
1261880762925604864,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:46:33 +0000 2020,2346288588,Schrödinger’s Cat,,,,"Trump Nation, CA"
1261880768202076161,"World is Facing this @ Hardest!!

China Oh #ChinaMustPay #ChinaLiedPeopleDie 

 #COVID-19: #Brazil becomes world’s fourth biggest hotspot #Coronavirus https://t.co/t99cRXGFx8",ChinaMustPay ChinaLiedPeopleDie COVID Brazil Coronavirus,en,Sun May 17 04:46:34 +0000 2020,207451201,Dilbag Koundal ਦਿਲਬਾਗ ਕੌਂਡਲ #Social-Distancing🇮🇳,,,,Kangra.UK.Mumbai.NCR 🇮🇳
1261880810874875905,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:46:44 +0000 2020,1130687192374874113,IDoKnowThis,,,,My handle on PARLER - Woody946
1261881426636673024,"@TVMohandasPai This is not surprising at all !!
In fact the actual #COVID__19 #COVID19 number in China could likely be much over a million.
Sad.
#ChinaLiedAndPeopleDied",COVID__19 COVID19 ChinaLiedAndPeopleDied,en,Sun May 17 04:49:11 +0000 2020,1108633248,Bharati,,,,India.
1261881838483595266,@CBSLA Racist Asian people protesting the homeless that they created! #ChinaLiedPeopleDie #coronavirus,ChinaLiedPeopleDie coronavirus,en,Sun May 17 04:50:49 +0000 2020,789997411280105472,Doesitmatter?,,,,"California, USA"
1261882660764487680,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:54:05 +0000 2020,823992597228244995,🇺🇸Toni🇺🇸,,,,"Alabama, USA"
1261882883628773376,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:54:58 +0000 2020,32635294,Gilly Mc,,,,At Home
1261883141410754562,RT @ashwani_mahajan: #BoycottChina Japan officially joins calls for a thorough and independent inquiry into the origins and spread of the d…,BoycottChina,en,Sun May 17 04:56:00 +0000 2020,1330726118,Dr. Asahishnu,,,,#24MeBhiModiHiAyega unfollowers will be unfollowed
1261883351230590979,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:56:50 +0000 2020,947929844079239168,*WhiskeyTangoFoxtrot*Pelosi Asshoe,,,,Maga Country
1261883623369736196,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:57:55 +0000 2020,119413988,Andre Quintal,,,,Salaberry-de- Valleyfield
1261883719385825280,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:58:18 +0000 2020,76417907,S Wallace,,,,God's Home State...ARKANSAS
1261883904358625280,"Dear world, 
A large part of #China’s GDP comes from the trade surplus with the word (esp 🇺🇸,🇪🇺 and 🇯🇵)If you wanna make China pay, try to switch to products that are NOT MADE IN CHINA. Every bit of it helps.
#BoycottChina #ChinaMustPay 
#CCPChina 

https://t.co/NfLLMWzNRS",China BoycottChina ChinaMustPay CCPChina,en,Sun May 17 04:59:02 +0000 2020,1133054380695990272,Hafa🇭🇰,,,,Hong Kong
1261883963804532737,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:59:16 +0000 2020,1199030060994293762,newzealand5eyemonster,,,,elsewhere
1261884008201412609,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:59:26 +0000 2020,128535736,Jaxon2010,,,,"Bethlehem, PA"
1261884024450154496,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 04:59:30 +0000 2020,2470070628,🤠 TexChic♥️'s 🇺🇸,,,,Texas
1261884213491642368,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:00:15 +0000 2020,4882354966,Tony Matty🇺🇸,,,,"Philadelphia, PA"
1261884289085509634,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:00:33 +0000 2020,1038574930126942209,texas voter,,,,Tx
1261884339383459841,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:00:45 +0000 2020,2689096890,Deplorable Spuds of the Cult45 Clan,,,,Nonya
1261884582930112512,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:01:43 +0000 2020,161372268,Lorie Maenza ⭐️🇺🇸⭐️,,,,Alabama
1261884861905690624,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:02:50 +0000 2020,1213672350551425024,Dw,,,,USA
1261884953454772224,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:03:12 +0000 2020,614103640,Terressa,,,,"California, USA"
1261885029275271169,"#CCPVirus #COVID19 #NineCommentaries

DID YOU KNOW? ""Falun Gong is a mirror of righteousness which by its very nature reveals all the unrighteousness of the #CCP.""

Read more: https://t.co/a654Zc5hey https://t.co/EOr38B9FKp",CCPVirus COVID19 NineCommentaries CCP,en,Sun May 17 05:03:30 +0000 2020,1226599294796550144,ClarifyingTheTruth,,,,Worldwide
1261885388777496578,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:04:56 +0000 2020,268593469,Mike 🇺🇸,,,,"Hawaii, USA"
1261885406175363074,"Next time, don’t eat the bat rare... just saying. 
#madeinchina #WuhanVirus #covid_19 #coronavirus #batman https://t.co/0rctIFl829",madeinchina WuhanVirus covid_19 coronavirus batman,en,Sun May 17 05:05:00 +0000 2020,570436599,Hector Gastelum,,,,"Chula Vista, CA"
1261885409203638274,"Will #china come out as black and white now? Or lies will continue! #investigation is must to expose china role in #COVID19
#ChinaLiedAndPeopleDied #ChinaMustExplain #coronavirus
 https://t.co/NJwJeMNNw8",china investigation COVID19 ChinaLiedAndPeopleDied ChinaMustExplain coronavirus,en,Sun May 17 05:05:00 +0000 2020,55203300,Dharmesh,,,,Australia
1261885539264933888,"RT @HectorVote: Next time, don’t eat the bat rare... just saying. 
#madeinchina #WuhanVirus #covid_19 #coronavirus #batman https://t.co/0rc…",madeinchina WuhanVirus covid_19 coronavirus batman,en,Sun May 17 05:05:31 +0000 2020,393064051,PLQP,,,,"Comunidad de Madrid, España"
1261885713328615427,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:06:13 +0000 2020,63183869,Dr. Z,,,,"Eufaula, Alabama"
1261885736929894400,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:06:19 +0000 2020,473523572,Vicki Lee ⭐️⭐️⭐️,,,,"Waxahachie, TX"
1261885766285709312,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:06:26 +0000 2020,4183085298,🇺🇸Donna Marie🇺🇸 ⭐️⭐️⭐️,,,,"Meridian, ID"
1261885778088660992,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:06:28 +0000 2020,1445551506,Kimberly potter,,,,Springfield
1261886040299708416,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:07:31 +0000 2020,75010295,Nikki Rowe,,,,virgnia
1261886212236853249,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:08:12 +0000 2020,1977537968,Sherrytheloyalzombie☢,,,,United States
1261886399982288896,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:08:57 +0000 2020,892943585703854080,⭐️ Anastacia Goldenhair ⭐️,,,,"Florida, USA"
1261886428172017665,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:09:03 +0000 2020,544589549,#DCPREZSHERIFFTRUMP,,,,USA
1261886648264122368,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:09:56 +0000 2020,1158808995915882496,⛩Rakkasan 4 Life⛩⭐⭐⭐,,,,"Corpus Christi, TX"
1261886992754839553,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:11:18 +0000 2020,931007328,DeepState⭐⭐⭐#Democrat'sAreCommunist,,,,Last Non-Globalist Nation. USA
1261887907771453440,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 05:14:56 +0000 2020,1184830049611968512,Kyunglim Jang,,,,"C G Shan, Hong Kong"
1261887983071854592,"India Fights CoronaVirus

#coronaindia
#indiafightscoronavirus #covid #c19 #stayhomestaysafe #stayhomesavelives @ Greater Hyderabad https://t.co/ky6PrNplSk",coronaindia indiafightscoronavirus covid c19 stayhomestaysafe stayhomesavelives,en,Sun May 17 05:15:14 +0000 2020,732522937,Syed Mohiuddin Faisal l سيد فيصل l सैयद फैसल,78.46666667,17.36666667,,"Hyderabad, India"
1261888176714510338,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:16:00 +0000 2020,84456811,JacQi Jackamara ⭐️⭐️⭐️,,,,Australia
1261888699475910658,@globaltimesnews China Sell #medicalsupplies !!! bt Look at #Taiwan they suplies ar donated this is example to folow. #china no helping! only making #money #ChinaLiedPeopleDied #COVID19 #TaiwanCanHelp #WuhanVirus #BoycottChineseProducts #TaiwanIsHelping,medicalsupplies Taiwan china money ChinaLiedPeopleDied COVID19 TaiwanCanHelp WuhanVirus BoycottChineseProducts TaiwanIsHelping,en,Sun May 17 05:18:05 +0000 2020,2955811672,pik pok,,,,Poland
1261888739049013248,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:18:14 +0000 2020,457566485,⭐️⭐️⭐️❌🇺🇸 SYLVIA 🇺🇸❌⭐️⭐️⭐️,,,,USA Gods Country
1261888749702610944,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:18:17 +0000 2020,1169414885790208000,Frankie Liuode 🇺🇸 O.U.R. Certified Volunteer,,,,"California, USA"
1261888828106780672,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:18:36 +0000 2020,1166476989110325248,Awaken 3DP,,,,3rd Dimension
1261888924533903360,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:18:59 +0000 2020,295899241,Common Man 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,,,,ARKANSAS
1261889029664133126,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:19:24 +0000 2020,991175921439858688,Cheryl Morece,,,,"Pennsylvania, USA"
1261889060458557440,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:19:31 +0000 2020,800160096412057604,weezer,,,,"California, USA"
1261889756406874112,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:22:17 +0000 2020,894244400309702657,Cheramie Lowrey,,,,"Meraux, LA"
1261890028176728064,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:23:22 +0000 2020,2658842593,Gigi Johnston🇺🇸,,,,"Washington, USA"
1261890073408266242,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:23:32 +0000 2020,145089042,Melissa_C_Cowan,,,,"Tennessee, USA"
1261890279725989888,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:24:22 +0000 2020,569416228,Travagline,,,,Home Sweet Home
1261891001687433217,"@RepVisclosky @RepWalorski
@RepJimBanks @RepJimBaird
@SusanWBrooks @RepGregPence
@RepAndreCarson @RepLarryBucshon
@RepTrey @SenatorBraun 
@SenToddYoung ➡When r u guys going 2 start holding #China, @UN &amp; the @WHO accountable?
#ChinaLied
#WHOLied
#UNLied
#WuhanVirus #ChineseVirus https://t.co/pXFbw0603f",China ChinaLied WHOLied UNLied WuhanVirus ChineseVirus,en,Sun May 17 05:27:14 +0000 2020,111681071,Phil Burnett,,,,"Hobart, IN"
1261891154016194561,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 05:27:50 +0000 2020,4838520568,Tian_A1 (Thierry),,,,Everywhere
1261891194092695552,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:28:00 +0000 2020,15544273,sisterwash65,,,,"Georgia, USA"
1261892214851899393,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:32:03 +0000 2020,925947166765359104,CoyWolf🇺🇸,,,,United States
